# time 	 nuc_size(exp.) 	 err_nuc_size(exp.) 	 nuc_size(sim) 	 per_size(sim) 
2 350.11 18.895 350.11 15
4 422.2 38.276 443.66 14.994
6 498.98 41.843 536.77 14.978
8 552.09 35.427 629.41 14.955
10 608.09 23.695 721.55 14.924
12 646.96 37.915 813.13 14.886
14 692.19 51.605 904.12 14.841
16 730.56 64.504 994.46 14.791
18 753.95 61.599 1084.1 14.735
20 779.02 46.796 1172.9 14.673
22 820.87 55.432 1260.9 14.606
24 853.29 72.478 1347.9 14.534
26 883.03 71.692 1433.8 14.458
28 904.72 77.525 1518.5 14.378
30 931.86 71.395 1601.9 14.295
32 951.42 82.27 1683.8 14.208
34 978.6 78.2 1763.9 14.119
36 989.17 50.779 1842.1 14.027
48 218.86 40.959 218.86 7.5
50 361.9 49.349 308.29 7.4944
52 439.93 41.219 396.91 7.4802
54 515.4 51.016 484.64 7.4587
56 596.7 57.132 571.39 7.4307
58 679.31 62.491 657.03 7.3968
60 742.95 54.11 741.43 7.3576
62 811.36 57.84 824.46 7.3134
64 886.11 60.545 905.92 7.2649
66 939.85 63.4 985.6 7.2126
78 268.44 41.987 268.44 3.75
80 376.84 41.842 350.08 3.7452
82 436.13 44.423 429.98 3.7334
84 519.08 55.586 507.89 3.7159
86 592.35 53.476 583.51 3.6936
88 659.18 53.032 656.52 3.6674
90 711.58 49.848 726.5 3.6381
92 760.04 54.871 793 3.6066
94 800.52 55.75 855.49 3.5738
96 827.02 61.106 913.37 3.5406
98 842.48 75.536 966.02 3.5083
110 281.44 62.202 281.44 1.875
112 371.89 45.009 351.46 1.8714
114 432.87 52.71 417.99 1.8628
116 498.42 58.685 480.52 1.8507
118 547.66 64.946 538.45 1.8362
120 604.53 68.688 591.16 1.8204
122 636.28 70.463 638.05 1.8043
124 664.62 71.071 678.62 1.7888
126 684.22 75.274 712.61 1.7748
128 682.34 86.561 740.06 1.7629
130 693.43 78.68 761.39 1.7531
132 697.45 77.684 777.36 1.7456
134 715.56 71.2 788.9 1.74
136 716.6 79.033 797.01 1.736
138 724.91 78.954 802.58 1.7333
150 224.61 73 224.61 0.9375
152 303.53 54.132 282.5 0.93497
154 350.97 48.592 335.16 0.92921
156 400.99 52.079 382 0.92168
158 439.16 53.715 422.52 0.91343
160 472.57 61.424 456.46 0.90534
162 497.34 66.408 483.86 0.89804
164 519.89 66.144 505.14 0.89191
166 528.72 76.848 521.06 0.88706
168 534.55 79.398 532.58 0.88342
170 538.75 77.576 540.66 0.88079
172 544.71 79.4 546.21 0.87895
174 548.57 73.584 549.96 0.87769
186 180.47 45.96 180.47 0.46875
188 239.23 51.815 224.64 0.46721
190 285.38 54.135 262.35 0.46397
192 323.64 54.131 293.44 0.46013
194 342.76 42.576 318.13 0.45637
196 363.79 46.43 337 0.45309
198 377.27 45.529 350.9 0.45045
200 396.49 48.889 360.82 0.44845
202 414.63 48.345 367.71 0.44701
204 419.49 49.316 372.41 0.446
206 428.18 52.348 375.56 0.44531
208 434.32 52.411 377.66 0.44485
210 434.27 47.43 379.04 0.44454
212 440.07 45.958 379.94 0.44434
214 440.78 45.357 380.54 0.4442
216 438.22 48.265 380.92 0.44411
228 155.52 50.434 155.52 0.23438
230 183.09 46.561 183.97 0.23369
232 202.05 40.602 206.2 0.23239
234 218.39 38.711 222.93 0.23103
236 233.65 37.893 235.09 0.22984
238 240.25 38.011 243.67 0.2289
240 248.53 37.152 249.58 0.22821
242 252.08 31.836 253.58 0.22772
244 253.11 26.817 256.25 0.22739
246 253.58 27.443 258.02 0.22716
248 253.96 36.985 259.19 0.22701
250 254.76 30.51 259.95 0.22691
252 254.91 33.64 260.45 0.22685
254 255.23 27.468 260.77 0.2268
256 255.94 35.347 260.98 0.22678
258 256 26.697 261.12 0.22676
260 256 36.186 261.21 0.22675
272 106.87 17.353 106.87 0.11719
274 136.17 16.337 127.85 0.11679
276 150.6 20.181 143.52 0.11609
278 161.65 24.488 154.83 0.11539
280 165.28 21.323 162.77 0.11481
282 168.73 18.961 168.21 0.11437
284 171.36 21.268 171.88 0.11405
286 173.75 23.588 174.33 0.11383
288 178.93 24.4 175.95 0.11369
290 180.19 25.621 177.01 0.11359
292 182.07 25.545 177.71 0.11352
294 184.38 26.522 178.16 0.11348
296 186.19 27.16 178.46 0.11345
298 186.88 25.396 178.65 0.11343
300 187.03 25.159 178.78 0.11342
302 184.38 26.44 178.86 0.11341
304 183.19 26.929 178.91 0.11341
306 183.81 27.276 178.95 0.1134
318 76.705 14.987 76.705 0.058594
320 88.925 15.614 90.95 0.058399
322 96.304 15.476 101.14 0.058072
324 103.16 17.062 108.23 0.057761
326 105.55 17.163 113.07 0.057512
328 108.4 19.03 116.32 0.057329
330 110.36 19.797 118.48 0.0572
332 111.45 19.971 119.91 0.057111
334 113.13 20.331 120.84 0.057052
336 113.04 20.8 121.45 0.057012
338 114.76 23.272 121.85 0.056986
340 115.13 30.375 122.12 0.056969
342 117.7 30.632 122.28 0.056958
