# time 	 nuc_size(exp.) 	 err_nuc_size(exp.) 	 nuc_size(sim) 	 per_size(sim) 
2 350.11 18.895 350.11 15
4 422.2 38.276 537.4 14.991
6 498.98 41.843 724.03 14.971
8 552.09 35.427 909.93 14.943
10 608.09 23.695 1095 14.908
12 646.96 37.915 1279.2 14.867
14 692.19 51.605 1462.3 14.821
16 730.56 64.504 1644.3 14.769
18 753.95 61.599 1825 14.713
20 779.02 46.796 2004.2 14.653
22 820.87 55.432 2181.6 14.589
24 853.29 72.478 2357 14.521
26 883.03 71.692 2530 14.45
28 904.72 77.525 2700.1 14.377
30 931.86 71.395 2866.6 14.302
32 951.42 82.27 3028.9 14.225
34 978.6 78.2 3185.7 14.148
36 989.17 50.779 3335.6 14.072
48 218.86 40.959 218.86 7.5
50 361.9 49.349 400.08 7.4913
52 439.93 41.219 579.87 7.4725
54 515.4 51.016 758.02 7.4464
56 596.7 57.132 934.24 7.4142
58 679.31 62.491 1108.2 7.3766
60 742.95 54.11 1279.5 7.3345
62 811.36 57.84 1447.5 7.2886
64 886.11 60.545 1611.6 7.2395
66 939.85 63.4 1770.6 7.188
78 268.44 41.987 268.44 3.75
80 376.84 41.842 438.76 3.7421
82 436.13 44.423 605.63 3.7255
84 519.08 55.586 768.24 3.7028
86 592.35 53.476 925.52 3.6755
88 659.18 53.032 1076 3.6449
90 711.58 49.848 1217.7 3.6125
92 760.04 54.871 1347.8 3.5796
94 800.52 55.75 1462.7 3.5483
96 827.02 61.106 1558.2 3.5208
98 842.48 75.536 1630.3 3.499
110 281.44 62.202 281.44 1.875
112 371.89 45.009 434.51 1.8684
114 432.87 52.71 579.56 1.855
116 498.42 58.685 714.11 1.8379
118 547.66 64.946 834.83 1.819
120 604.53 68.688 937.58 1.8007
122 636.28 70.463 1018.2 1.7849
124 664.62 71.071 1074.5 1.7731
126 684.22 75.274 1108.8 1.7656
128 682.34 86.561 1127.1 1.7616
130 693.43 78.68 1136 1.7596
132 697.45 77.684 1140 1.7587
134 715.56 71.2 1141.9 1.7582
136 716.6 79.033 1142.6 1.7581
138 724.91 78.954 1143 1.758
150 224.61 73 224.61 0.9375
152 303.53 54.132 356.11 0.9324
154 350.97 48.592 472.84 0.92279
156 400.99 52.079 570.52 0.91193
158 439.16 53.715 645.25 0.90208
160 472.57 61.424 695.78 0.8947
162 497.34 66.408 725.5 0.89011
164 519.89 66.144 740.94 0.88765
166 528.72 76.848 748.3 0.88646
168 534.55 79.398 751.64 0.88592
170 538.75 77.576 753.12 0.88568
172 544.71 79.4 753.77 0.88557
174 548.57 73.584 754.05 0.88552
186 180.47 45.96 180.47 0.46875
188 239.23 51.815 284.77 0.46528
190 285.38 54.135 367.21 0.4596
192 323.64 54.131 425.4 0.45437
194 342.76 42.576 461.19 0.4507
196 363.79 46.43 480.47 0.44858
198 377.27 45.529 489.88 0.44752
200 396.49 48.889 494.2 0.44702
202 414.63 48.345 496.13 0.4468
204 419.49 49.316 496.98 0.4467
206 428.18 52.348 497.35 0.44666
208 434.32 52.411 497.51 0.44664
210 434.27 47.43 497.58 0.44663
212 440.07 45.958 497.61 0.44663
214 440.78 45.357 497.62 0.44663
216 438.22 48.265 497.63 0.44663
228 155.52 50.434 155.52 0.23438
230 183.09 46.561 227.12 0.23252
232 202.05 40.602 274.69 0.23005
234 218.39 38.711 302.18 0.22826
236 233.65 37.893 316.27 0.22725
238 240.25 38.011 322.93 0.22675
240 248.53 37.152 325.95 0.22652
242 252.08 31.836 327.28 0.22641
244 253.11 26.817 327.87 0.22637
246 253.58 27.443 328.12 0.22635
248 253.96 36.985 328.23 0.22634
250 254.76 30.51 328.28 0.22634
252 254.91 33.64 328.3 0.22634
254 255.23 27.468 328.31 0.22633
256 255.94 35.347 328.31 0.22633
258 256 26.697 328.31 0.22633
260 256 36.186 328.32 0.22633
272 106.87 17.353 106.87 0.11719
274 136.17 16.337 157.67 0.11614
276 150.6 20.181 187.59 0.11493
278 161.65 24.488 203.15 0.11415
280 165.28 21.323 210.58 0.11375
282 168.73 18.961 213.95 0.11357
284 171.36 21.268 215.45 0.11348
286 173.75 23.588 216.1 0.11344
288 178.93 24.4 216.39 0.11343
290 180.19 25.621 216.51 0.11342
292 182.07 25.545 216.57 0.11342
294 184.38 26.522 216.59 0.11342
296 186.19 27.16 216.6 0.11341
298 186.88 25.396 216.6 0.11341
300 187.03 25.159 216.61 0.11341
302 184.38 26.44 216.61 0.11341
304 183.19 26.929 216.61 0.11341
306 183.81 27.276 216.61 0.11341
318 76.705 14.987 76.705 0.058594
320 88.925 15.614 109.87 0.05808
322 96.304 15.476 127.46 0.05755
324 103.16 17.062 135.95 0.057243
326 105.55 17.163 139.84 0.057092
328 108.4 19.03 141.56 0.057023
330 110.36 19.797 142.32 0.056993
332 111.45 19.971 142.65 0.056979
334 113.13 20.331 142.8 0.056973
336 113.04 20.8 142.86 0.056971
338 114.76 23.272 142.89 0.05697
340 115.13 30.375 142.9 0.056969
342 117.7 30.632 142.9 0.056969
